Primer Autor,Año,Tipo de Producto,Afiliación del Primer Autor,Journal,Publisher,Base de Datos,Citaciones
Abangan A.S.,2024-12-01,Article,INRAE,Scientific Reports,Publisher desconocido,Scopus,0
Abbas M.,2024-12-01,Article,National University of Computer and Emerging Sciences Islamabad,International Journal of Educational Technology in Higher Education,Publisher desconocido,Scopus,130
Abdai J.,2024-09-27,Book Chapter,MTA-ELTE Comparative Ethology Research Group,An Introduction to Ethorobotics: Robotics and the Study of Animal Behaviour,Publisher desconocido,Scopus,0
Abdalla A.A.,2024-12-01,Article,Abu Dhabi University,Computers and Education: Artificial Intelligence,Publisher desconocido,Scopus,1
Abedi A.,2024-12-01,Article,"Islamic Azad University, Arak Branch",Scientific Reports,Publisher desconocido,Scopus,3
Abideen Z.U.,2024-10-01,Article,Jiangsu University,Computational Intelligence,Publisher desconocido,Scopus,0
Abualigah L.,2024-12-01,Article,University of Tabuk,Social Network Analysis and Mining,Publisher desconocido,Scopus,13
Adamczyk A.K.,2024-11-01,Article,Uniwersytet Jagielloński,Psychophysiology,Publisher desconocido,Scopus,0
Addis D.R.,2024-09-16,Review,University of Toronto,Philosophical Transactions of the Royal Society B: Biological Sciences,Publisher desconocido,Scopus,1
Adif S.A.,2024-10-15,Article,National Cheng Kung University College of Medicine,Heliyon,Publisher desconocido,Scopus,0
Agbo B.,2024-12-01,Article,Keele University,International Journal of Educational Research Open,Publisher desconocido,Scopus,0
Agbobli D.,2024-11-15,Review,College of Engineering,Energy and Buildings,Publisher desconocido,Scopus,0
Aghaee K.,2024-11-01,Review,Cornell University College of Engineering,Journal of Building Engineering,Publisher desconocido,Scopus,1
Agirbas A.,2024-11-01,Article,Özyeğin Üniversitesi,Journal of Cultural Heritage,Publisher desconocido,Scopus,0
Aharoni E.,2024-12-01,Article,Georgia State University,Scientific Reports,Publisher desconocido,Scopus,3
Ahmad K.A.,2025-06-01,Article,Kolej Universiti Islam Perlis (KUIPs),Journal of Advanced Research in Applied Sciences and Engineering Technology,Publisher desconocido,Scopus,0
Ahmed K.,2024-12-01,Article,Zhengzhou University,Expert Systems with Applications,Publisher desconocido,Scopus,0
Ai J.,2024-12-01,Article,Beijing University of Chemical Technology,Applied Mathematics and Computation,Publisher desconocido,Scopus,1
Aji D.Y.,2024-10-01,Article,Institut Teknologi Bandung,Renewable Energy Focus,Publisher desconocido,Scopus,0
Akbaritabar A.,2024-12-01,Article,Max Planck Institute for Demographic Research,EPJ Data Science,Publisher desconocido,Scopus,0
Akhmetshin E.,2025-01-01,Article,Kazan Federal University,International Journal of Neutrosophic Science,Publisher desconocido,Scopus,0
Akyüz E.S.,2024-09-04,Review,Osmaniye Korkut Ata University,International Journal of Hydrogen Energy,Publisher desconocido,Scopus,2
Al Faraby S.,2024-12-01,Article,Telkom University,Computers and Education: Artificial Intelligence,Publisher desconocido,Scopus,0
Al Qaraghuli M.M.,2024-12-01,Article,University of Strathclyde,Scientific Reports,Publisher desconocido,Scopus,1
Alahe M.A.,2024-11-01,Review,Jerome J. Lohr College of Engineering,Computers and Electronics in Agriculture,Publisher desconocido,Scopus,0
Alajlan N.N.,2025-05-01,Article,Qassim University,Journal of Advanced Research in Applied Sciences and Engineering Technology,Publisher desconocido,Scopus,1
Alcaide-Marzal J.,2025-01-01,Article,Universitat Politècnica de València,Computers in Industry,Publisher desconocido,Scopus,0
Aletta F.,2024-09-05,Article,University College London,Applied Acoustics,Publisher desconocido,Scopus,4
Alipour-Vaezi M.,2024-11-01,Article,Virginia Tech College of Engineering,Computers and Industrial Engineering,Publisher desconocido,Scopus,0
Aljeraisy A.,2024-09-09,Article,Majmaah University,"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies",Publisher desconocido,Scopus,0
Almarzoqi R.M.,2024-09-18,Book,Ministry of Economy and Planning,Innovation and Economic Development,Publisher desconocido,Scopus,0
